date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:51:23	3587/3587	---M--	200	added ('OK')	image/png	etag:%22b2377d6271ec00b3af1ebff731706e11%22	http://demo.devitems.com/mirora-v2/mirora/assets/img/logo/logo.png	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/assets/img/logo/logo.png	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:24	51030/51030	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:24%20GMT	http://demo.devitems.com/mirora-v2/mirora/wishlist.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/wishlist.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:25	97002/97002	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:17%20GMT	http://demo.devitems.com/mirora-v2/mirora/product-details.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/product-details.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:26	60647/60647	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:55%20GMT	http://demo.devitems.com/mirora-v2/mirora/cart.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/cart.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:26	22806/22806	---M--	200	added ('OK')	image/jpeg	etag:%22804559b335379125dbca9d8c10febc83%22	http://demo.devitems.com/mirora-v2/mirora/assets/img/products/1-1-450x450.jpg	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/assets/img/products/1-1-450x450.jpg	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:26	92474/92474	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:56%20GMT	http://demo.devitems.com/mirora-v2/mirora/checkout.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/checkout.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:26	10210/10210	---M--	200	added ('OK')	image/jpeg	etag:%22cdf6bac3938118ca00afd2b7c778f5ed%22	http://demo.devitems.com/mirora-v2/mirora/assets/img/products/2-2-450x450.jpg	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/assets/img/products/2-2-450x450.jpg	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:27	221546/221546	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:00%20GMT	http://demo.devitems.com/mirora-v2/mirora/index-3.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/index-3.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:27	248888/248888	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:18:59%20GMT	http://demo.devitems.com/mirora-v2/mirora/index-2.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/index-2.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
19:51:28	170929/170929	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Oct%202018%2013:19:04%20GMT	http://demo.devitems.com/mirora-v2/mirora/index-4.html	C:/My%20Web%20Sites/template/demo.devitems.com/mirora-v2/mirora/index-4.html	(from http://demo.devitems.com/mirora-v2/mirora/index.html)
